title,link-title,译制名,link,post
91 days,91days,91 days,http://91days.family/,yes
Charlotte,charlotte,夏洛特,https://charlotte-anime.jp/,yes
CLANNAD,CLANNAD,CLANNAD,http://www.tbs.co.jp/clannad/,yes
"Love, Death & Robots",/,爱、死亡，机器人,https://www.netflix.com/title/80174608,yes
OVERLORD,OVERLORD,OVERLORD,http://overlord-anime.com/,yes
Re: CREATORS,recreators,Re:CREATERS,https://recreators.tv/,yes
Re: ゼロから始める異世界生活,re-zero,Re：从零开始的异世界生活,http://re-zero-anime.jp/,yes
アブソリュート・デュオ,absoluteduo,绝对双刃,http://absoluteduo.com/,yes
ウルトラマン,/,奥特曼,/,yes
エロマンガ先生,eromanga-sensei,埃罗芒阿老师,https://eromanga-sensei.com/,yes
カップヌードル CM,/,日清杯面 CM,https://www.cupnoodle.jp/cm/,yes
ギルティクラウン,guilty-crown,罪恶王冠,https://guilty-crown.jp/,yes
キルラキル,kill-la-kill,斩服少女,http://www.kill-la-kill.jp/,yes
くさまが生徒会長！,okusama,我老婆是学生会长,http://www.dreamcreation.co.jp/okusama/,yes
クズの本懐,kuzunohonkai,人渣的本愿,https://www.kuzunohonkai.com/,yes
コードギアス,Code Geass,叛逆的鲁鲁修,http://www.geass.jp/,yes
さんかれあ,sankarea,散华礼弥,http://www.tbs.co.jp/anime/sankarea,yes
シュタインズ・ゲート,steinsgate,命运石之门,http://steinsgate.tv/,yes
セイレン,seiren,清恋,http://www.tbs.co.jp/anime/seiren/,yes
そらのおとしもの,soraoto,天降之物,http://kadokawa-anime.jp/soraoto/index.html,yes
ドメスティックな彼女,domekano,家有女友,http://domekano-anime.com/,yes
とらドラ,toradora,龙与虎,http://king-cr.jp/special/toradora,yes
ナイツ＆マジック,knights-magic,骑士与魔法,http://knights-magic.com/,yes
ネトゲの嫁は女の子じゃないと思った？,netogenoyome,线上游戏的老婆不可能是女生？,https://netogenoyome.com/,yes
ノーゲーム・ノーライフ,ngnl,游戏人生,http://ngnl.jp/tv/,yes
ブブキ・ブランキ,bbkbrnk,舞兵器舞乱伎,http://bbkbrnk.com/,yes
プラスティック・メモリーズ,plastic-memories,可塑性记忆,https://www.plastic-memories.jp/,yes
ブラック★ロックシューター,blackrockshooter,黑岩射手,http://blackrockshooter.jp/,yes
フルメタル・パニック!,fullmetal-panic,全金属狂潮,http://www.tdd-1.com/,yes
フレームアームズ,fagirl,机甲少女,http://fagirl.com/,yes
リズと青い鳥,liz-bluebird,莉兹与青鸟,http://liz-bluebird.com/,yes
俺の妹がこんなに可愛いわけがない,oreimo,我的妹妹哪有这么可爱,https://www.oreimo-anime.com/,yes
宝石の国,land-of-the-lustrous,宝石之国,http://land-of-the-lustrous.com/,yes
変形少女,henkeigirls,变形少女,http://henkeigirls.com/,yes
大家さんは思春期！,ooyasan,房东妹子青春期,http://www.ooyasan-anime.com/,yes
盾の勇者の成り上がり,shieldhero,盾之勇者成名录,http://shieldhero-anime.jp/,yes
仮面ライダー,/,假面骑士,/,yes
干物妹！うまるちゃん,umaru,干物妹！小埋,https://umaru-ani.me/,yes
攻殻機動隊,kokaku-a,攻壳机动队,http://kokaku-a.jp/,yes
機動戦士ガンダム,/,机动战士高达,/,yes
監獄学園,prison,监狱学园,http://prison-anime.com/,yes
君の名は,kiminona,你的名字,http://kiminona.com/,yes
斉木楠雄の Ψ 難,saikikusuo,齐木楠雄的灾难,https://www.saikikusuo.com/,yes
聲の形,koenokatachi,声之形,http://koenokatachi-movie.com/,yes
四月は君の嘘,kimiuso,四月是你的谎言,https://www.kimiuso.jp/,yes
賢者の孫,kenja-no-mago,贤者之孙,http://kenja-no-mago.jp/,yes
新世紀エヴァンゲリオン,evangelion,新世纪福音战士,https://www.evangelion.co.jp/,yes
亜人,ajin,亚人,http://www.ajin.net/,yes
言の葉の庭,kotonohanoniwa,言叶之庭,http://www.kotonohanoniwa.jp/,yes
幼女戦記,youjo-senki,幼女战记,http://youjo-senki.jp/tv/,yes
楽園追放 -Expelled From Paradise-,rakuen-tsuiho,乐园追放 -Expelled From Paradise-,http://rakuen-tsuiho.com/,yes
戦闘妖精雪風,faf,战斗妖精雪风,https://www.faf.jp/,yes
中二病でも恋がしたい！,chu-2,中二病也要谈恋爱！,http://www.anime-chu-2.com/tv/,yes
転生したらスライムだった件,ten-sura,关于我转生变成史莱姆这档事,http://www.ten-sura.com/,yes
最弱無敗の神装機竜,saijaku,最弱无败神装机龙,http://saijaku.jp/,yes
